Sample,Z
834,0.4684
835,0.4682
836,0.4688
837,0.4688
838,0.4687
839,0.4688
840,0.4684
841,0.4686
842,0.4688
843,0.4678
844,0.4683
845,0.4683
846,0.4678
847,0.4678
848,0.4675
849,0.4675
850,0.4679
851,0.4688
852,0.4677
853,0.4686
854,0.4689
855,0.4684
856,0.4680
857,0.4688
858,0.4673
859,0.4691
860,0.4688
861,0.4676
862,0.4683
863,0.4676
864,0.4673
865,0.4675
866,0.4676
867,0.4677
868,0.4676
869,0.4677
870,0.4679
871,0.4678
872,0.4680
873,0.4686
874,0.4687
875,0.4689
876,0.4688
877,0.4686
878,0.4686
879,0.4691
880,0.4688
881,0.4681
882,0.4678
883,0.4682
884,0.4676
885,0.4679
886,0.4678
887,0.4680
888,0.4677
889,0.4683
890,0.4683
891,0.4682
892,0.4690
893,0.4691
894,0.4689
895,0.4689
896,0.4688
897,0.4675
898,0.4686
899,0.4680
Rate 0, overflows 0
