Sample,X,Y,Z
659,0.008,0.031,0.926
660,0.000,0.035,0.926
661,0.004,0.031,0.922
662,0.004,0.035,0.922
663,0.004,0.027,0.914
664,0.000,0.035,0.918
665,0.012,0.039,0.922
666,0.004,0.031,0.918
667,0.008,0.035,0.926
668,0.008,0.027,0.922
669,0.000,0.035,0.914
670,0.004,0.035,0.918
671,0.004,0.035,0.922
672,0.008,0.043,0.938
673,0.008,0.035,0.918
674,0.004,0.031,0.918
675,0.004,0.035,0.914
676,0.008,0.039,0.918
677,0.012,0.035,0.922
678,0.008,0.035,0.926
679,0.020,0.043,0.934
680,0.004,0.035,0.918
681,0.008,0.035,0.918
682,0.012,0.035,0.918
683,0.008,0.035,0.922
684,0.008,0.047,0.910
685,0.008,0.039,0.922
686,0.008,0.043,0.918
687,0.012,0.031,0.926
688,0.012,0.035,0.930
689,0.008,0.035,0.914
690,0.008,0.031,0.914
691,0.008,0.035,0.918
692,0.016,0.031,0.918
693,0.020,0.039,0.926
694,0.008,0.035,0.926
695,0.008,0.035,0.922
696,0.004,0.031,0.914
697,0.004,0.035,0.918
698,0.004,0.027,0.918
699,0.004,0.035,0.922
700,0.012,0.039,0.926
701,0.004,0.027,0.914
702,0.012,0.031,0.914
703,0.020,0.035,0.922
704,0.012,0.027,0.926
705,0.012,0.027,0.922
706,0.008,0.043,0.918
707,0.012,0.043,0.918
708,0.008,0.031,0.926
709,0.004,0.031,0.926
710,0.008,0.035,0.918
711,0.004,0.039,0.910
712,0.008,0.035,0.918
713,0.004,0.035,0.926
714,0.000,0.039,0.922
715,0.008,0.035,0.910
716,0.012,0.027,0.922
717,0.012,0.031,0.922
718,0.004,0.039,0.922
719,0.004,0.031,0.918
720,0.004,0.031,0.918
721,0.008,0.031,0.930
722,0.004,0.031,0.930
723,0.016,0.027,0.926
724,0.000,0.043,0.918
725,0.012,0.031,0.926
726,0.004,0.039,0.922
727,0.008,0.031,0.922
728,0.008,0.039,0.930
729,0.008,0.027,0.914
730,0.008,0.031,0.922
731,0.004,0.035,0.910
732,0.004,0.031,0.926
733,0.004,0.043,0.918
734,0.008,0.031,0.930
735,0.008,0.035,0.918
736,0.004,0.031,0.914
737,0.000,0.035,0.922
738,0.004,0.035,0.922
